#stno,yyyymmdd,TX01,WD01,WD02,SS02,GR01
467410.0,20030101.0,16.7,2.6,10.0,47.6,11.74
467410.0,20030102.0,18.6,2.5,20.0,71.0,13.43
467410.0,20030103.0,16.2,5.6,10.0,22.4,6.71
467410.0,20030104.0,15.6,3.5,10.0,85.8,14.73
467410.0,20030105.0,14.1,4.6,10.0,81.1,14.09
467410.0,20030106.0,14.9,3.1,10.0,27.9,9.21
467410.0,20030107.0,15.6,6.4,360.0,54.9,12.3
467410.0,20030108.0,16.3,4.4,10.0,85.6,15.29
467410.0,20030109.0,17.9,3.8,360.0,26.9,10.18
467410.0,20030110.0,17.0,5.9,10.0,77.1,14.65
467410.0,20030111.0,16.2,3.9,10.0,72.4,13.94
467410.0,20030112.0,16.7,2.9,10.0,43.6,11.25
467410.0,20030113.0,17.8,3.4,10.0,57.4,13.02
467410.0,20030114.0,17.8,3.7,10.0,72.2,14.2
467410.0,20030115.0,17.1,4.3,10.0,49.0,11.02
467410.0,20030116.0,17.2,3.6,10.0,56.3,12.69
467410.0,20030117.0,18.5,2.8,10.0,71.9,13.7
467410.0,20030118.0,18.4,2.8,10.0,23.9,10.35
467410.0,20030119.0,19.0,4.3,360.0,77.3,14.75
467410.0,20030120.0,17.8,2.9,10.0,27.6,9.47
467410.0,20030121.0,19.4,2.2,10.0,25.7,9.93
467410.0,20030122.0,17.3,4.3,10.0,0.0,2.59
467410.0,20030123.0,16.5,5.1,360.0,70.5,13.73
467410.0,20030124.0,16.8,2.4,10.0,75.9,14.55
467410.0,20030125.0,19.7,2.5,20.0,80.4,15.03
467410.0,20030126.0,22.3,2.9,200.0,88.5,15.89
467410.0,20030127.0,18.1,5.8,10.0,61.9,13.82
467410.0,20030128.0,14.7,4.0,10.0,59.1,13.73
467410.0,20030129.0,16.0,3.3,10.0,84.5,15.8
467410.0,20030130.0,17.8,2.6,20.0,85.2,15.93
467410.0,20030131.0,20.3,2.1,20.0,64.3,14.5
467410.0,20030201.0,19.8,4.5,10.0,83.2,16.02
467410.0,20030202.0,16.1,4.5,360.0,72.2,15.15
467410.0,20030203.0,16.1,3.0,360.0,4.5,6.99
467410.0,20030204.0,16.0,5.3,360.0,43.2,13.37
467410.0,20030205.0,14.8,3.8,10.0,13.5,7.74
467410.0,20030206.0,15.8,3.4,10.0,76.3,15.69
467410.0,20030207.0,18.2,2.5,10.0,25.1,11.83
467410.0,20030208.0,19.1,3.1,20.0,3.6,5.49
467410.0,20030209.0,20.6,2.4,20.0,67.8,16.64
467410.0,20030210.0,21.5,2.3,20.0,78.4,17.7
467410.0,20030211.0,19.4,4.9,10.0,73.8,16.51
467410.0,20030212.0,17.4,5.0,10.0,65.7,16.54
467410.0,20030213.0,17.9,4.4,10.0,66.5,16.58
467410.0,20030214.0,20.2,3.6,10.0,79.7,17.5
467410.0,20030215.0,23.1,4.0,200.0,49.5,16.03
467410.0,20030216.0,23.4,3.6,360.0,66.2,16.79
467410.0,20030217.0,20.1,3.4,10.0,23.8,11.82
467410.0,20030218.0,20.8,3.5,10.0,58.0,16.4
467410.0,20030219.0,20.1,4.6,10.0,56.1,16.2
467410.0,20030220.0,19.1,3.3,10.0,80.6,18.36
467410.0,20030221.0,20.9,2.5,20.0,71.7,17.18
467410.0,20030222.0,23.0,1.6,100.0,66.3,16.57
467410.0,20030223.0,23.6,2.3,90.0,88.8,19.15
467410.0,20030224.0,21.6,4.1,360.0,56.5,16.29
467410.0,20030225.0,20.6,3.8,10.0,43.4,15.29
467410.0,20030226.0,23.2,3.1,10.0,76.2,18.55
467410.0,20030227.0,23.7,3.5,360.0,56.2,16.75
467410.0,20030228.0,22.7,2.9,10.0,45.7,16.56
467410.0,20030301.0,24.0,3.0,360.0,86.1,19.07
467410.0,20030302.0,23.3,2.3,10.0,52.4,14.85
467410.0,20030303.0,24.6,2.8,250.0,77.2,19.64
467410.0,20030304.0,20.1,3.7,360.0,40.3,12.48
467410.0,20030305.0,23.3,2.1,150.0,33.3,12.93
467410.0,20030306.0,24.9,2.6,150.0,32.4,11.08
467410.0,20030307.0,16.8,5.7,10.0,6.0,8.91
467410.0,20030308.0,15.4,3.2,10.0,5.1,7.92
467410.0,20030309.0,16.9,2.8,360.0,2.5,6.29
467410.0,20030310.0,16.3,4.5,10.0,15.2,11.3
467410.0,20030311.0,18.4,2.7,350.0,84.5,20.92
467410.0,20030312.0,19.9,3.9,10.0,70.0,19.86
467410.0,20030313.0,20.5,4.1,360.0,86.7,20.99
467410.0,20030314.0,19.6,3.1,10.0,43.7,15.52
467410.0,20030315.0,23.0,2.7,20.0,74.6,20.65
467410.0,20030316.0,25.1,3.0,140.0,67.8,20.39
467410.0,20030317.0,24.5,2.7,130.0,86.1,20.89
467410.0,20030318.0,21.0,4.4,360.0,33.4,16.18
467410.0,20030319.0,18.4,4.3,360.0,28.3,15.34
467410.0,20030320.0,16.9,4.5,10.0,4.2,5.62
